index,label,module,index_module,index_node
1,Precentral_L,FRONTAL,1,1
2,Precentral_R,FRONTAL,1,2
3,Frontal_Sup_L,FRONTAL,1,3
4,Frontal_Sup_R,FRONTAL,1,4
5,Frontal_Sup_Orb_L,FRONTAL,1,5
6,Frontal_Sup_Orb_R,FRONTAL,1,6
7,Frontal_Mid_L,FRONTAL,1,7
8,Frontal_Mid_R,FRONTAL,1,8
9,Frontal_Mid_Orb_L,FRONTAL,1,9
10,Frontal_Mid_Orb_R,FRONTAL,1,10
11,Frontal_Inf_Oper_L,FRONTAL,1,11
12,Frontal_Inf_Oper_R,FRONTAL,1,12
13,Frontal_Inf_Tri_L,FRONTAL,1,13
14,Frontal_Inf_Tri_R,FRONTAL,1,14
15,Frontal_Inf_Orb_L,FRONTAL,1,15
16,Frontal_Inf_Orb_R,FRONTAL,1,16
17,Rolandic_Oper_L,FRONTAL,1,17
18,Rolandic_Oper_R,FRONTAL,1,18
19,Supp_Motor_Area_L,FRONTAL,1,19
20,Supp_Motor_Area_R,FRONTAL,1,20
21,Olfactory_L,FRONTAL,1,21
22,Olfactory_R,FRONTAL,1,22
23,Frontal_Sup_Medial_L,FRONTAL,1,23
24,Frontal_Sup_Medial_R,FRONTAL,1,24
25,Frontal_Med_Orb_L,FRONTAL,1,25
26,Frontal_Med_Orb_R,FRONTAL,1,26
27,Rectus_L,FRONTAL,1,27
28,Rectus_R,FRONTAL,1,28
29,Insula_L,INS,2,1
30,Insula_R,INS,2,2
31,Cingulum_Ant_L,LIMBIC,3,1
32,Cingulum_Ant_R,LIMBIC,3,2
33,Cingulum_Mid_L,LIMBIC,3,3
34,Cingulum_Mid_R,LIMBIC,3,4
35,Cingulum_Post_L,LIMBIC,3,5
36,Cingulum_Post_R,LIMBIC,3,6
37,Hippocampus_L,LIMBIC,3,7
38,Hippocampus_R,LIMBIC,3,8
39,ParaHippocampal_L,LIMBIC,3,9
40,ParaHippocampal_R,LIMBIC,3,10
41,Amygdala_L,LIMBIC,3,11
42,Amygdala_R,LIMBIC,3,12
43,Calcarine_L,OCCIPITAL,4,1
44,Calcarine_R,OCCIPITAL,4,2
45,Cuneus_L,OCCIPITAL,4,3
46,Cuneus_R,OCCIPITAL,4,4
47,Lingual_L,OCCIPITAL,4,5
48,Lingual_R,OCCIPITAL,4,6
49,Occipital_Sup_L,OCCIPITAL,4,7
50,Occipital_Sup_R,OCCIPITAL,4,8
51,Occipital_Mid_L,OCCIPITAL,4,9
52,Occipital_Mid_R,OCCIPITAL,4,10
53,Occipital_Inf_L,OCCIPITAL,4,11
54,Occipital_Inf_R,OCCIPITAL,4,12
55,Fusiform_L,OCCIPITAL,4,13
56,Fusiform_R,OCCIPITAL,4,14
57,Postcentral_L,PARIETAL,5,1
58,Postcentral_R,PARIETAL,5,2
59,Parietal_Sup_L,PARIETAL,5,3
60,Parietal_Sup_R,PARIETAL,5,4
61,Parietal_Inf_L,PARIETAL,5,5
62,Parietal_Inf_R,PARIETAL,5,6
63,SupraMarginal_L,PARIETAL,5,7
64,SupraMarginal_R,PARIETAL,5,8
65,Angular_L,PARIETAL,5,9
66,Angular_R,PARIETAL,5,10
67,Precuneus_L,PARIETAL,5,11
68,Precuneus_R,PARIETAL,5,12
69,Paracentral_Lobule_L,PARIETAL,5,13
70,Paracentral_Lobule_R,PARIETAL,5,14
71,Caudate_L,SUBCORTICAL,6,1
72,Caudate_R,SUBCORTICAL,6,2
73,Putamen_L,SUBCORTICAL,6,3
74,Putamen_R,SUBCORTICAL,6,4
75,Pallidum_L,SUBCORTICAL,6,5
76,Pallidum_R,SUBCORTICAL,6,6
77,Thalamus_L,SUBCORTICAL,6,7
78,Thalamus_R,SUBCORTICAL,6,8
79,Heschl_L,TEMPORAL,7,1
80,Heschl_R,TEMPORAL,7,2
81,Temporal_Sup_L,TEMPORAL,7,3
82,Temporal_Sup_R,TEMPORAL,7,4
83,Temporal_Pole_Sup_L,TEMPORAL,7,5
84,Temporal_Pole_Sup_R,TEMPORAL,7,6
85,Temporal_Mid_L,TEMPORAL,7,7
86,Temporal_Mid_R,TEMPORAL,7,8
87,Temporal_Pole_Mid_L,TEMPORAL,7,9
88,Temporal_Pole_Mid_R,TEMPORAL,7,10
89,Temporal_Inf_L,TEMPORAL,7,11
90,Temporal_Inf_R,TEMPORAL,7,12
91,Cerebelum_Crus1_L,CEREBELLUM,8,1
92,Cerebelum_Crus1_R,CEREBELLUM,8,2
93,Cerebelum_Crus2_L,CEREBELLUM,8,3
94,Cerebelum_Crus2_R,CEREBELLUM,8,4
95,Cerebelum_3_L,CEREBELLUM,8,5
96,Cerebelum_3_R,CEREBELLUM,8,6
97,Cerebelum_4_5_L,CEREBELLUM,8,7
98,Cerebelum_4_5_R,CEREBELLUM,8,8
99,Cerebelum_6_L,CEREBELLUM,8,9
100,Cerebelum_6_R,CEREBELLUM,8,10
101,Cerebelum_7b_L,CEREBELLUM,8,11
102,Cerebelum_7b_R,CEREBELLUM,8,12
103,Cerebelum_8_L,CEREBELLUM,8,13
104,Cerebelum_8_R,CEREBELLUM,8,14
105,Cerebelum_9_L,CEREBELLUM,8,15
106,Cerebelum_9_R,CEREBELLUM,8,16
107,Cerebelum_10_L,CEREBELLUM,8,17
108,Cerebelum_10_R,CEREBELLUM,8,18
109,Vermis_1_2,CEREBELLUM,8,19
110,Vermis_3,CEREBELLUM,8,20
111,Vermis_4_5,CEREBELLUM,8,21
112,Vermis_6,CEREBELLUM,8,22
113,Vermis_7,CEREBELLUM,8,23
114,Vermis_8,CEREBELLUM,8,24
115,Vermis_9,CEREBELLUM,8,25
116,Vermis_10,CEREBELLUM,8,26
