x,y,z,label
-39.65,-5.6833,50.944,Precentral_L
40.375,-8.2131,52.092,Precentral_R
-19.446,34.808,42.202,Frontal_Sup_L
20.9,31.12,43.815,Frontal_Sup_R
-17.56,47.325,-13.307,Frontal_Sup_Orb_L
17.495,48.098,-14.02,Frontal_Sup_Orb_R
-34.432,32.732,35.456,Frontal_Mid_L
36.595,33.062,34.035,Frontal_Mid_R
-31.646,50.43,-9.619,Frontal_Mid_Orb_L
32.182,52.588,-10.731,Frontal_Mid_Orb_R
-49.434,12.733,19.022,Frontal_Inf_Oper_L
49.204,14.976,21.412,Frontal_Inf_Oper_R
-46.583,29.914,13.99,Frontal_Inf_Tri_L
49.33,30.162,14.173,Frontal_Inf_Tri_R
-36.985,30.707,-12.11,Frontal_Inf_Orb_L
40.224,32.23,-11.911,Frontal_Inf_Orb_R
-48.158,-8.4755,13.951,Rolandic_Oper_L
51.647,-6.2522,14.635,Rolandic_Oper_R
-6.324,4.8485,61.375,Supp_Motor_Area_L
7.6158,0.17141,61.854,Supp_Motor_Area_R
-9.0628,15.053,-11.455,Olfactory_L
9.4269,15.912,-11.256,Olfactory_R
-5.7994,49.169,30.894,Frontal_Sup_Medial_L
8.0994,50.841,30.219,Frontal_Sup_Medial_R
-6.174,54.057,-7.3968,Frontal_Med_Orb_L
7.1611,51.671,-7.1341,Frontal_Med_Orb_R
-6.0819,37.072,-18.136,Rectus_L
7.3533,35.645,-18.044,Rectus_R
-36.131,6.6518,3.4409,Insula_L
38.019,6.2451,2.0775,Insula_R
-5.0366,35.4,13.953,Cingulum_Ant_L
7.4557,37.006,15.84,Cingulum_Ant_R
-6.4764,-14.92,41.569,Cingulum_Mid_L
7.0204,-8.8264,39.791,Cingulum_Mid_R
-5.8476,-42.918,24.67,Cingulum_Post_L
6.4375,-41.815,21.867,Cingulum_Post_R
-26.027,-20.741,-10.133,Hippocampus_L
28.231,-19.783,-10.331,Hippocampus_R
-22.171,-15.95,-20.704,ParaHippocampal_L
24.382,-15.147,-20.47,ParaHippocampal_R
-24.269,-0.66705,-17.141,Amygdala_L
26.319,0.63868,-17.503,Amygdala_R
-8.1417,-78.667,6.4392,Calcarine_L
14.994,-73.148,9.4048,Calcarine_R
-6.934,-80.134,27.224,Cuneus_L
12.511,-79.358,28.228,Cuneus_R
-15.617,-67.555,-4.6329,Lingual_L
15.29,-66.926,-3.8747,Lingual_R
-17.541,-84.262,28.165,Occipital_Sup_L
23.292,-80.854,30.587,Occipital_Sup_R
-33.389,-80.732,16.115,Occipital_Mid_L
36.388,-79.705,19.416,Occipital_Mid_R
-37.359,-78.293,-7.8443,Occipital_Inf_L
37.159,-81.993,-7.6132,Occipital_Inf_R
-32.159,-40.298,-20.228,Fusiform_L
32.968,-39.102,-20.178,Fusiform_R
-43.462,-22.631,48.917,Postcentral_L
40.428,-25.493,52.545,Postcentral_R
-24.454,-59.557,58.96,Parietal_Sup_L
25.106,-59.18,62.062,Parietal_Sup_R
-43.804,-45.82,46.741,Parietal_Inf_L
45.462,-46.29,49.535,Parietal_Inf_R
-56.788,-33.638,30.449,SupraMarginal_L
56.611,-31.505,34.48,SupraMarginal_R
-45.141,-60.816,35.587,Angular_L
44.508,-59.985,38.628,Angular_R
-8.2408,-56.071,48.009,Precuneus_L
8.9796,-56.049,43.769,Precuneus_R
-8.6301,-25.365,70.07,Paracentral_Lobule_L
6.4771,-31.587,68.094,Paracentral_Lobule_R
-12.462,10.996,9.2391,Caudate_L
13.836,12.074,9.4152,Caudate_R
-24.914,3.8553,2.4013,Putamen_L
26.779,4.9129,2.4647,Putamen_R
-18.75,-0.03151,0.2105,Pallidum_L
20.201,0.1755,0.22806,Pallidum_R
-11.848,-17.564,7.9761,Thalamus_L
11.998,-17.552,8.0868,Thalamus_R
-42.992,-18.875,9.9784,Heschl_L
44.857,-17.147,10.406,Heschl_R
-54.156,-20.678,7.1348,Temporal_Sup_L
57.146,-21.781,6.8014,Temporal_Sup_R
-40.879,15.144,-20.183,Temporal_Pole_Sup_L
47.247,14.745,-16.863,Temporal_Pole_Sup_R
-56.524,-33.8,-2.201,Temporal_Mid_L
56.473,-37.228,-1.4681,Temporal_Mid_R
-37.32,14.587,-34.081,Temporal_Pole_Mid_L
43.22,14.552,-32.233,Temporal_Pole_Mid_R
-50.771,-28.052,-23.168,Temporal_Inf_L
52.692,-31.069,-22.319,Temporal_Inf_R
-36.067,-66.72,-28.934,Cerebelum_Crus1_L
37.456,-67.137,-29.547,Cerebelum_Crus1_R
-28.636,-73.26,-38.204,Cerebelum_Crus2_L
32.057,-69.016,-39.949,Cerebelum_Crus2_R
-8.8004,-37.223,-18.581,Cerebelum_3_L
12.319,-34.466,-19.391,Cerebelum_3_R
-15.004,-43.486,-16.933,Cerebelum_4_5_L
17.199,-42.861,-18.151,Cerebelum_4_5_R
-23.238,-59.101,-22.131,Cerebelum_6_L
24.691,-58.316,-23.645,Cerebelum_6_R
-32.358,-59.82,-45.449,Cerebelum_7b_L
33.139,-63.178,-48.457,Cerebelum_7b_R
-25.751,-54.519,-47.685,Cerebelum_8_L
25.064,-56.34,-49.468,Cerebelum_8_R
-10.947,-48.95,-45.903,Cerebelum_9_L
9.4602,-49.5,-46.327,Cerebelum_9_R
-22.614,-33.8,-41.765,Cerebelum_10_L
25.995,-33.838,-41.347,Cerebelum_10_R
0.75743,-38.792,-20.05,Vermis_1_2
1.3804,-39.931,-11.398,Vermis_3
1.2207,-52.362,-6.1138,Vermis_4_5
1.1414,-67.059,-15.123,Vermis_6
1.1458,-71.93,-25.141,Vermis_7
1.1521,-64.429,-34.08,Vermis_8
0.86467,-54.875,-34.896,Vermis_9
0.35584,-45.8,-31.683,Vermis_10
